Model,PVCZ,Mean System Age (yrs),Mean Calendar Year
Scenario 1,T6:H4,22.234005332093243,2041.9186135936186
Scenario 1,T7:H4,21.944242301858814,2040.564833580867
Scenario 1,T8:H4,21.545678998108695,2042.4284189868843
Scenario 2,T6:H4,20.73134014571293,2040.4131155424932
Scenario 2,T7:H4,20.12583989375706,2038.7456020389852
Scenario 2,T8:H4,19.399860966229546,2040.2824675380177
Scenario 3,T6:H4,19.224573855494885,2038.90350865602
Scenario 3,T7:H4,18.306387894245788,2036.9253204271129
Scenario 3,T8:H4,17.253495085777626,2038.1359682065163
